ejecucion,tiempo,mejor_fitness,mejor_blosum
1,49.394275426864624,39876.791954042536,-61.0
2,48.9596962928772,29.68213825784486,24.0
3,57.31083154678345,24.17598048468056,18.0
4,50.03544282913208,100.75033372287113,13.0
5,49.45517611503601,42.51100381106717,13.0
6,49.02298617362976,1066.932496877884,24.0
7,48.569318532943726,18.602531512052444,13.0
8,47.97392797470093,57478.6297208,-90.0
9,47.73927044868469,25.21434632350904,18.0
10,48.08783841133118,19.516402773937802,13.0
